id,firstName,lastName,birthDate,birthLocation,educationLevel,profession,club,districtNum,districtName,voivodeship,numberOfVotes,active,inactiveCause,waiverDesc,percentOfVoting
87,Kinga,Gajewska,1990-07-22,Warszawa,wyższe,"politolog, prawnik",KO,20,Warszawa,mazowieckie,85283,True,,,99.78
88,Elżbieta,Gapińska,1960-10-03,Płock,wyższe,pedagog,KO,16,Płock,mazowieckie,13214,True,,,99.78
89,Kamila,Gasiuk-Pihowicz,1983-05-08,Warszawa,wyższe,"adwokat, prawnik",KO,18,Siedlce,mazowieckie,57609,True,,,92.17
90,Krzysztof,Gawkowski,1980-04-11,Warszawa,wyższe,nauczyciel akademicki,Lewica,4,Bydgoszcz,kujawsko-pomorskie,21831,True,,,98.88
91,Zdzisław,Gawlik,1960-09-12,Dębica,wyższe,nauczyciel akademicki,KO,23,Rzeszów,podkarpackie,7054,True,,,94.85
92,Andrzej,Gawron,1965-01-06,Kochcice,wyższe,parlamentarzysta,PiS,28,Częstochowa,śląskie,13239,True,,,92.84
93,Grzegorz,Gaża,1972-03-23,Pszczyna,wyższe,"parlamentarzysta, przedsiębiorca prywatny",PiS,27,Bielsko-Biała,śląskie,11940,True,,,76.29
94,Elżbieta,Gelert,1955-04-22,Gdańsk,wyższe,menedżer,KO,34,Elbląg,warmińsko-mazurskie,15847,True,,,86.8
95,Anna,Gembicka,1991-11-07,Włocławek,wyższe,"prawnik, wyższy urzędnik państwowy",PiS,5,Toruń,kujawsko-pomorskie,25993,True,,,76.06
96,Artur,Gierada,1979-04-21,Kielce,wyższe,politolog,KO,33,Kielce,świętokrzyskie,16878,True,,,97.32
97,Roman,Giertych,1971-02-27,Śrem,wyższe,adwokat,KO,33,Kielce,świętokrzyskie,23622,True,,,81.88
98,Włodzisław,Giziński,1952-10-19,Działdowo,wyższe,,KO,4,Bydgoszcz,kujawsko-pomorskie,13630,True,,,95.3
99,Szymon,Giżyński,1956-03-08,Częstochowa,wyższe,urzędnik państwowy,PiS,28,Częstochowa,śląskie,14148,True,,,87.47
100,Piotr,Gliński,1954-04-20,Warszawa,wyższe,pracownik naukowo-dydaktyczny,PiS,19,Warszawa,mazowieckie,135339,True,,,86.13
101,Tomasz,Głogowski,1974-12-30,Tarnowskie Góry,wyższe,nauczyciel akademicki,KO,29,Katowice,śląskie,11463,True,,,97.32
102,Piotr,Głowski,1967-07-22,Bydgoszcz,wyższe,ekonomista,KO,38,Piła,wielkopolskie,16067,True,,,90.83
103,Marta,Golbik,1985-04-14,Gliwice,wyższe,przedsiębiorca prywatny,KO,29,Katowice,śląskie,19430,True,,,100.0
104,Małgorzata,Golińska,1980-10-30,Szczecinek,wyższe,leśnik,PiS,40,Koszalin,zachodniopomorskie,15253,True,,,96.64
105,Kazimierz,Gołojuch,1964-02-05,Łańcut,wyższe,parlamentarzysta,PiS,23,Rzeszów,podkarpackie,14216,True,,,97.99
106,Adam,Gomoła,1999-01-20,Opole,wyższe,specjalista ds. rozwoju i promocji,niez.,21,Opole,opolskie,21923,True,,,93.29
107,Robert,Gontarz,1993-07-02,Żuromin,wyższe,"ekonomista, matematyk, parlamentarzysta",PiS,34,Elbląg,warmińsko-mazurskie,24940,True,,,92.17
108,Stanisław,Gorczyca,1958-07-27,Miłomłyn,wyższe,biolog,KO,34,Elbląg,warmińsko-mazurskie,7979,True,,,99.55
109,Mariusz,Gosek,1982-08-20,Kielce,wyższe,pedagog,PiS,33,Kielce,świętokrzyskie,5309,True,,,95.08
110,Daria,Gosek-Popiołek,1985-04-16,Sosnowiec,wyższe,pracownik samorządowy,Lewica,13,Kraków,małopolskie,39054,True,,,95.3
111,Małgorzata,Gosiewska,1966-07-22,Gdańsk,średnie ogólne,urzędnik państwowy,PiS,19,Warszawa,mazowieckie,36523,True,,,83.0
112,Piotr,Górnikiewicz,1972-07-09,Tarnów,wyższe,ekonomista,Polska2050-TD,15,Tarnów,małopolskie,5180,True,,,99.78
113,Agnieszka,Górska,1976-01-01,Skarżysko-Kamienna,wyższe,ekonomista,PiS,17,Radom,mazowieckie,11494,True,,,77.63
114,Krzysztof,Grabczuk,1962-04-22,Sawin,wyższe,nauczyciel akademicki,KO,7,Chełm,lubelskie,32985,True,,,99.55
115,Jan,Grabiec,1972-11-02,Legionowo,wyższe,urzędnik państwowy,KO,20,Warszawa,mazowieckie,71534,True,,,93.74
116,Marcin,Grabowski,1981-04-06,Ostrołęka,wyższe,pracownik administracji państwowej,PiS,18,Siedlce,mazowieckie,10339,True,,,95.3
117,Michał,Gramatyka,1971-10-08,Katowice,wyższe,radca prawny,Polska2050-TD,31,Katowice,śląskie,32251,True,,,97.32
118,Małgorzata,Gromadzka,1985-03-24,Tarnogród,wyższe,pracownik administracji samorządowej,KO,7,Chełm,lubelskie,10710,True,,,99.55
119,Marek,Gróbarczyk,1968-03-13,Nowy Sącz,wyższe,inżynier mechanik,PiS,41,Szczecin,zachodniopomorskie,44422,True,,,94.63
120,Andrzej,Grzyb,1956-08-23,Siedlików,wyższe,"ekonomista, inżynier ogrodnik",PSL-TD,36,Kalisz,wielkopolskie,29391,True,,,95.53
121,Andrzej,Gut-Mostowy,1960-10-30,Zakopane,wyższe,ekonomista,PiS,14,Nowy Sącz,małopolskie,16467,True,,,90.38
122,Kazimierz,Gwiazdowski,1962-06-10,Radziłów,średnie zawodowe,rolnik,PiS,24,Białystok,podlaskie,11898,True,,,95.08
123,Marcin,Gwóźdź,1977-12-14,Ząbkowice Śl.,wyższe,inżynier,PiS,2,Wałbrzych,dolnośląskie,23434,True,,,97.76
124,Marek,Gzik,1971-09-03,Gliwice,wyższe,nauczyciel akademicki,KO,29,Katowice,śląskie,19070,True,,,98.88
125,Krzysztof,Habura,1956-06-02,Pabianice,wyższe,inżynier budownictwa,KO,11,Sieradz,łódzkie,11267,True,,,91.05
126,Agnieszka,Hanajczyk,1963-01-12,Zgierz,wyższe,prawnik,KO,11,Sieradz,łódzkie,16865,True,,,95.97
127,Iwona,Hartwich,1970-09-06,Rypin,średnie ogólne,sprzedawca,KO,5,Toruń,kujawsko-pomorskie,17889,True,,,100.0
128,Paulina,Hennig-Kloska,1977-10-05,Gniezno,wyższe,"bankowiec, dziennikarz, ekonomista",Polska2050-TD,37,Konin,wielkopolskie,30334,True,,,98.66
129,Krzysztof,Hetman,1974-06-27,Lublin,wyższe,politolog,PSL-TD,6,Lublin,lubelskie,28876,True,,,82.33
130,Czesław,Hoc,1954-02-22,Jelenin,wyższe,lekarz,PiS,40,Koszalin,zachodniopomorskie,31360,True,,,94.63
131,Zbigniew,Hoffmann,1963-07-05,Poznań,wyższe,politolog,PiS,37,Konin,wielkopolskie,47594,True,,,89.04
132,Marek,Hok,1953-06-15,Koszalin,wyższe,"lekarz, parlamentarzysta, urzędnik samorządowy",KO,40,Koszalin,zachodniopomorskie,8176,True,,,99.55
133,Szymon,Hołownia,1976-09-03,Białystok,średnie ogólne,"polityk, publicysta",Polska2050-TD,24,Białystok,podlaskie,79951,True,,,99.55
134,Marcin,Horała,1981-10-02,Gdańsk,wyższe,"prawnik, specjalista ds. zarządzania, wyższy urzędnik państwowy",PiS,26,Słupsk,pomorskie,47974,True,,,87.02
135,Łukasz,Horbatowski,1980-05-14,Głogów,wyższe,pracownik samorządowy,KO,1,Legnica,dolnośląskie,13934,True,,,93.96
136,Paweł,Hreniak,1979-09-09,Wrocław,wyższe,urzędnik państwowy,PiS,3,Wrocław,dolnośląskie,19384,True,,,97.09
137,Paweł,Jabłoński,1986-01-25,Opole,wyższe,adwokat,PiS,30,Bielsko-Biała,śląskie,22996,True,,,91.28
138,Klaudia,Jachira,1988-05-31,Wrocław,wyższe,aktorka,KO,19,Warszawa,mazowieckie,9172,True,,,100.0
139,Marek,Jakubiak,1959-04-30,Warszawa,średnie policealne/pomaturalne,przedsiębiorca prywatny,Kukiz15,19,Warszawa,mazowieckie,39151,True,,,88.37
140,Maria,Janyska,1962-01-16,Wyrzysk,wyższe,ekonomista,KO,38,Piła,wielkopolskie,23592,True,,,100.0
141,Michał,Jaros,1981-01-26,Aleksandrów Kujawski,wyższe,ekonomista,KO,3,Wrocław,dolnośląskie,30512,True,,,99.33
142,Patryk,Jaskulski,1990-08-18,Szczecin,wyższe,politolog,KO,41,Szczecin,zachodniopomorskie,7439,True,,,99.78
143,Danuta,Jazłowiecka,1957-05-19,Opole,wyższe,polityk,KO,21,Opole,opolskie,11580,True,,,71.81
144,Dariusz,Joński,1979-01-12,Łódź,wyższe,ekonomista,KO,9,Łódź,łódzkie,87470,True,,,100.0
145,Marcin,Józefaciuk,1982-10-17,Łódź,wyższe,nauczyciel,KO,9,Łódź,łódzkie,8893,True,,,99.55
146,Norbert,Kaczmarczyk,1989-11-16,Proszowice,wyższe,"dziennikarz, parlamentarzysta, politolog, rolnik",PiS,15,Tarnów,małopolskie,11926,True,,,97.54
147,Filip,Kaczyński,1987-11-19,Sucha Beskidzka,wyższe,politolog,PiS,12,Kraków,małopolskie,18285,True,,,97.99
148,Jarosław,Kaczyński,1949-06-18,Warszawa,wyższe,prawnik,PiS,33,Kielce,świętokrzyskie,177228,True,,,82.77
149,Piotr,Kaleta,1968-06-25,Kalisz,wyższe,parlamentarzysta,PiS,36,Kalisz,wielkopolskie,16344,True,,,99.55
150,Sebastian,Kaleta,1989-07-29,Siedliszcze,wyższe,radca prawny,PiS,19,Warszawa,mazowieckie,31369,True,,,94.85
151,Mariusz,Kałużny,1986-08-10,Toruń,wyższe,politolog,PiS,5,Toruń,kujawsko-pomorskie,19072,True,,,71.36
152,Mariusz,Kamiński,1965-09-25,Sochaczew,wyższe,historyk,PiS,7,Chełm,lubelskie,44195,False,,Utrata prawa wybieralności,80.95
153,Piotr,Kandyba,1969-10-13,Dobra,wyższe,menedżer,KO,20,Warszawa,mazowieckie,15144,True,,,99.78
154,Jan,Kanthak,1991-09-20,Gdańsk,wyższe,prawnik,PiS,6,Lublin,lubelskie,22037,True,,,93.96
155,Fryderyk,Kapinos,1961-12-31,Mielec,wyższe,technolog żywności,PiS,23,Rzeszów,podkarpackie,18065,True,,,93.51
156,Jacek,Karnowski,1963-08-16,Gdańsk,wyższe,"ekonomista, inżynier budownictwa",KO,25,Gdańsk,pomorskie,55069,True,,,98.66
157,Iwona,Karolewska,1974-03-11,Lniano,wyższe,urzędnik samorządowy,KO,4,Bydgoszcz,kujawsko-pomorskie,8572,True,,,99.78
158,Rafał,Kasprzyk,1971-08-27,Busko Zdrój,wyższe,"inżynier budownictwa, menedżer",Polska2050-TD,33,Kielce,świętokrzyskie,10907,True,,,99.78
159,Henryk,Kiepura,1969-11-10,Kłobuck,wyższe,prawnik,PSL-TD,28,Częstochowa,śląskie,20665,True,,,96.42
160,Marcin,Kierwiński,1976-08-22,Warszawa,wyższe,elektronik,KO,16,Płock,mazowieckie,51828,True,,,98.21
161,Katarzyna,Kierzek-Koperska,1974-06-09,Września,wyższe,doradca podatkowy,KO,39,Poznań,wielkopolskie,20091,True,,,98.88
162,Dariusz,Klimczak,1980-06-17,Rawa Mazowiecka,wyższe,historyk,PSL-TD,10,Piotrków Trybunalski,łódzkie,21826,True,,,98.66
163,Joanna,Kluzik-Rostkowska,1963-12-14,Katowice,wyższe,dziennikarz,KO,17,Radom,mazowieckie,21218,True,,,99.33
164,Agnieszka,Kłopotek,1969-07-09,Tarnów,wyższe,zootechnik,PSL-TD,4,Bydgoszcz,kujawsko-pomorskie,11049,True,,,95.53
165,Łukasz,Kmita,1985-11-07,Olkusz,wyższe,urzędnik państwowy,PiS,12,Kraków,małopolskie,26062,True,,,92.39
166,Michał,Kobosko,1968-04-15,Warszawa,wyższe,,Polska2050-TD,19,Warszawa,mazowieckie,61452,True,,,78.08
167,Maria,Koc,1964-08-22,Prudnik,wyższe,parlamentarzysta,PiS,18,Siedlce,mazowieckie,70732,True,,,95.3
168,Ewa,Kołodziej,1978-09-02,Katowice,wyższe,politolog,KO,31,Katowice,śląskie,7283,True,,,100.0
169,Magdalena,Kołodziejczak,1958-06-19,Dąbrówka,wyższe,prawnik,KO,25,Gdańsk,pomorskie,12773,True,,,99.11
170,Michał,Kołodziejczak,1988-09-14,Sieradz,średnie ogólne,rolnik,KO,37,Konin,wielkopolskie,44062,True,,,95.75
171,Rafał,Komarewicz,1971-06-10,Ełk,wyższe,przedsiębiorca prywatny,Polska2050-TD,13,Kraków,małopolskie,44808,True,,,99.78
172,Maciej,Konieczny,1980-10-14,Gliwice,wyższe,parlamentarzysta,Lewica,31,Katowice,śląskie,17901,True,,,97.76
173,Zbigniew,Konwiński,1974-03-24,Słupsk,wyższe,"historyk, menedżer",KO,26,Słupsk,pomorskie,15538,True,,,100.0
174,Władysław,Kosiniak-Kamysz,1981-08-10,Kraków,wyższe,lekarz,PSL-TD,15,Tarnów,małopolskie,50139,True,,,98.43
175,Tomasz,Kostuś,1974-03-07,Kluczbork,wyższe,politolog,KO,21,Opole,opolskie,11857,True,,,99.78
176,Andrzej,Kosztowniak,1976-03-31,Radom,wyższe,"ekonomista, prawnik",PiS,17,Radom,mazowieckie,9755,True,,,89.93
177,Katarzyna,Kotula,1977-02-01,Gryfino,wyższe,nauczyciel,Lewica,25,Gdańsk,pomorskie,33122,True,,,97.09
178,Paweł,Kowal,1975-07-22,Rzeszów,wyższe,nauczyciel akademicki,KO,23,Rzeszów,podkarpackie,63534,True,,,95.53
179,Henryk,Kowalczyk,1956-07-15,Żabianka,wyższe,matematyk,PiS,18,Siedlce,mazowieckie,30081,True,,,96.87
180,Janusz,Kowalski,1978-04-11,Opole,wyższe,prawnik,PiS,21,Opole,opolskie,14593,True,,,76.51
181,Bartosz,Kownacki,1979-08-11,Warszawa,wyższe,adwokat,PiS,4,Bydgoszcz,kujawsko-pomorskie,17135,True,,,86.35
182,Iwona,Kozłowska,1963-08-11,Więcbork,wyższe,pedagog,KO,4,Bydgoszcz,kujawsko-pomorskie,14514,True,,,98.43
183,Stefan,Krajewski,1981-06-08,Zambrów,wyższe,politolog,PSL-TD,24,Białystok,podlaskie,9803,True,,,88.81
184,Wiesław,Krajewski,1964-06-03,Chojnów,wyższe,parlamentarzysta,PiS,15,Tarnów,małopolskie,24838,True,,,93.06
185,Leonard,Krasulski,1950-11-08,Sopot,średnie ogólne,pracownik administracyjny,PiS,34,Elbląg,warmińsko-mazurskie,13948,True,,,93.96
186,Iwona,Krawczyk,1965-07-19,Jawor,wyższe,"menedżer, nauczyciel, nauczyciel akademicki",KO,1,Legnica,dolnośląskie,8831,True,,,100.0
187,Michał,Krawczyk,1978-03-21,Lublin,wyższe,menedżer,KO,6,Lublin,lubelskie,12009,True,,,100.0
188,Robert,Kropiwnicki,1974-07-23,Legnica,wyższe,"menedżer, nauczyciel akademicki",KO,1,Legnica,dolnośląskie,31838,True,,,99.33
189,Piotr,Król,1974-06-26,Bydgoszcz,wyższe,politolog,PiS,4,Bydgoszcz,kujawsko-pomorskie,17952,True,,,99.78
190,Wojciech,Król,1985-04-22,Jaworzno,wyższe,"parlamentarzysta, urzędnik samorządowy",KO,31,Katowice,śląskie,7136,True,,,100.0
191,Anna,Krupka,1981-10-30,Warszawa,wyższe,socjolog,PiS,33,Kielce,świętokrzyskie,39854,True,,,92.39
